trade_id,token_id,symbol,direction,side,size,price,timestamp,paper,order_id,notes
PAPER-1772730211-0001,111170388056352076234792433618987556213272707556731256691580754200917997824524,ETH,up,BUY,12.18,0.5,1772730211.813722,True,,conf=0.61
PAPER-1772730574-0002,36967639328017751568393516687151808287155872453592659537535376874491797121036,ETH,down,BUY,12.09,0.5,1772730574.6403637,True,,conf=0.60
PAPER-1772730698-0003,44385790740740568107914773659301168656574079851985400954031736262649824076825,SOL,up,BUY,12.18,0.5,1772730698.975903,True,,conf=0.61
PAPER-1772731223-0001,25639474948104746683806400196276402249745889910421072122157623103701457430885,BTC,up,BUY,13.5,0.0005,1772731223.5172231,True,,conf=0.67
PAPER-1772731244-0002,111170388056352076234792433618987556213272707556731256691580754200917997824524,ETH,up,BUY,13.54,0.0045000001651669,1772731244.9342265,True,,conf=0.68
PAPER-1772732602-0003,2456422899860945188097064695179259350862799360148542876371380704922214975304,ETH,up,BUY,13.42,0.085,1772732602.1240923,True,,conf=0.67
PAPER-1772735041-0001,42616804774984544368006637501603445805550889794440311650439497684180808479638,SOL,down,BUY,13.78,0.395,1772735041.029397,True,,conf=0.69
PAPER-1772735790-0001,7295500517517597446897535113598127168463971713414039609277782789478636457328,SOL,down,BUY,12.04,0.485,1772735790.7430809,True,,conf=0.60
PAPER-1772735791-0002,37921434852097664817252345921260682002737015504041156754428753529846929096004,ETH,down,BUY,12.04,0.49,1772735791.0879016,True,,conf=0.60
PAPER-1772739241-0001,26079095278251813573452787054821005531707678823227305568258787660606529581726,SOL,up,BUY,13.05,0.365,1772739241.3108344,True,,conf=0.65
PAPER-1772739385-0002,26079095278251813573452787054821005531707678823227305568258787660606529581726,SOL,up,SELL,13.05,0.29000000000000004,1772739385.8056178,True,,stop_loss
PAPER-1772740203-0003,978947773303041063659403225258318833072600694368278675179849708068112733761,SOL,down,BUY,13.49,0.365,1772740203.2743242,True,,conf=0.67
PAPER-1772740500-0004,978947773303041063659403225258318833072600694368278675179849708068112733761,SOL,down,SELL,13.49,0.86,1772740500.9424727,True,,take_profit
PAPER-1772741147-0005,14598680500093634171236973653178764225342920804564426924446390916047940411674,ETH,down,BUY,13.02,0.4,1772741147.0848298,True,,conf=0.65
PAPER-1772741335-0006,14598680500093634171236973653178764225342920804564426924446390916047940411674,ETH,down,SELL,13.02,0.32,1772741335.529922,True,,stop_loss
PAPER-1772741886-0007,1344250091538399270884098978718854740317252815304383502075240834146926284896,SOL,down,BUY,15.62,0.39,1772741886.1363103,True,,conf=0.78
PAPER-1772741906-0008,1344250091538399270884098978718854740317252815304383502075240834146926284896,SOL,down,SELL,15.62,0.275,1772741906.5488417,True,,stop_loss
PAPER-1772743987-0009,1177332389640702853312193258987509304886794686425776766188888539719372063238,BTC,up,BUY,12.51,0.37450248756218907,1772743987.8974097,True,,conf=0.63
PAPER-1772744249-0010,1177332389640702853312193258987509304886794686425776766188888539719372063238,BTC,up,SELL,12.51,0.855,1772744249.9123528,True,,take_profit
PAPER-1772744362-0011,103412155147313985806690310834126256864914191869611415947886726631994964185854,ETH,up,BUY,12.25,0.4554999047800419,1772744362.5292518,True,,conf=0.61
PAPER-1772745283-0012,103412155147313985806690310834126256864914191869611415947886726631994964185854,ETH,up,SELL,12.25,0.85,1772745283.290797,True,,take_profit
